AC	ID	DE	AU	SE	SS	GA	TC	NC	TP	BM	CB	SM	DR	RN	RM	RT	RA	RL	WK	SQ	CC	PI	CL	**
RF01155	snoR101	Small nucleolar RNA snoR101	Wilkinson A; 0000-0001-7406-0151	Predicted; WAR; Wilkinson A	Predicted; WAR; Wilkinson A	40.00	40.70	36.30	Gene; snRNA; snoRNA; CD-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	URL; http://bioinf.scri.sari.ac.uk/cgi-bin/plant_snorna/home;;SO; 0001263; ncRNA_gene;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;;snoopy; Arabidopsis_thaliana300006;	[1]	12477388	Experimental RNomics: identification of 140 candidates for small;non-messenger RNAs in the plant Arabidopsis thaliana.	Marker C, Zemann A, Terhorst T, Kiefmann M, Kastenmayer JP, Green P,;Bachellerie JP, Brosius J, Huttenhofer A	Curr Biol. 2002;12:2002-2013.	Small_nucleolar_RNA	5				
RF01969	RMST_8	Rhabdomyosarcoma 2 associated transcript conserved region 8	Eberhardt R; 0000-0001-6152-1369	Predicted; ClustalW; Eberhardt R	Predicted; RNAalifold;	80.00	95.60	61.40	Gene; lncRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 27.22 -Z 549862.597050 CM SEQDB	SO; 0001463; lincRNA;	[1]	20062813	Rmst is a novel marker for the mouse ventral mesencephalic floor plate and;the anterior dorsal midline cells.	Uhde CW, Vives J, Jaeger I, Li M	PLoS One. 2010;5:e8641.	RMST_(gene)	22		NCRMS		
RF01367	CRISPR-DR54	CRISPR RNA direct repeat element	Wilkinson A; 0000-0001-7406-0151	Predicted; WAR; Wilkinson A	Predicted; WAR; Wilkinson A	39.00	39.20	38.60	Gene; CRISPR;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	URL; http://crispr.u-psud.fr/crispr/CRISPRHomePage.php;;SO; 0001459; CRISPR;;GO; 0006952; defense response;	[1]	17521438	The CRISPRdb database and tools to display CRISPRs and to generate;dictionaries of spacers and repeats.	Grissa I, Vergnaud G, Pourcel C	BMC Bioinformatics. 2007;8:172.	CRISPR	2				
RF03430	MIR5294	MIR5294 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	115.00	115.10	114.90	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001303;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	3	This family represents the microRNA (miRNA) precursor MIR5294 imported;from miRBase.			
RF02724	sno_ZL2	Small nucleolar RNA ZL2	Argasinska J; 0000-0003-2678-2824	Argasinska J	Predicted; RNAfold	50.00	50.90	49.00	Gene; snRNA; snoRNA; CD-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 0 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	SO; 0000275; small nucleolar RNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;	[1]	23706177	Insights into snoRNA biogenesis and processing from PAR-CLIP of snoRNA;core proteins and small RNA sequencing.	Kishore S, Gruber AR, Jedlinski DJ, Syed AP, Jorjani H, Zavolan M	Genome Biol. 2013;14:R45.	Small_nucleolar_RNA	6	Host gene TNPO2. Predicted target 28S@U4276, U4571. Previously described;as SNORD41B.			
RF00073	mir-156	mir-156 microRNA precursor	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; PFOLD	62.00	62.10	61.90	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000008;;SO; 0001244; pre_miRNA;;GO; 0035195; gene silencing by miRNA;;GO; 0016442; RISC complex;	[1];[2]	12101121;11779458	MicroRNAs in plants.;microRNAs: tiny regulators with great potential.	Reinhart BJ, Weinstein EG, Rhoades MW, Bartel B, Bartel DP;Ambros V	Genes Dev 2002;16:1616-1626.;Cell 2001;107:823-826.	mir-156_microRNA_precursor	10	This family represents the plant microRNA (miRNA) precursor mir-156. This;miRNA has now been predicted or experimentally confirmed in a range of;plant species (MIPF:MIPF0000008). Animal miRNAs are transcribed as ~70nt;precursors and subsequently processed by the Dicer enzyme to give a ~22nt;product. In plants the precursor sequences may be longer, and the carpel;factory (caf) enzyme appears to be involved in processing. In this case;the mature sequence comes from the 5' arm of the precursor, and both;Arabidopsis and rice genomes contain a number of related miRNA precursors;which give rise to almost identical mature sequences. The extents of the;hairpin precursors are not generally known and are estimated based on;hairpin prediction. The products are thought to have regulatory roles;through complementarity to mRNA.			
RF00241	mir-8	mir-8/mir-141/mir-200 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	47.00	47.00	46.90	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 40.00 -Z 742849.287494 CM SEQDB	MIR; MI0000128;;MIR; MI0000166;;MIR; MI0000243;;MIR; MI0000342;;MIR; MI0000457;;MIPF; MIPF0000019;;SO; 0001244; pre_miRNA;;GO; 0035195; gene silencing by miRNA;;GO; 0016442; RISC complex;	[1];[2];[4]	11679670;12554859;30423142	Identification of novel genes coding for small expressed RNAs.;New microRNAs from mouse and human.;miRBase: from microRNA sequences to function.	Lagos-Quintana M, Rauhut R, Lendeckel W, Tuschl T;Lagos-Quintana M, Rauhut R, Meyer J, Borkhardt A, Tuschl T;Kozomara A, Birgaoanu M, Griffiths-Jones S	Science 2001;294:853-858.;RNA 2003;9:175-179.;Nucleic Acids Res. 2019;47:D155.	Mir-8/mir-141/mir-200_microRNA_precursor_family	164	miR-8 from Drosophila [1] (MIR:MI0000128) and human and mouse mir-141;(MIR:MI0000166, MIR:MI0000457), mir-429 (MIR:MI0001642) and mir-200;(MIR:MI0000243, MIR:MI0000342) [2] are expressed from the 3' arm of;related precursor hairpins (represented here). Members of this precursor;family have now been predicted or experimentally confirmed in a wide range;of species (MIPF:MIPF0000019). The bounds of the precursors are predicted;based on conservation and base pairing and are not generally known.		CL00138	
RF01393	isrJ	isrJ Hfq binding RNA	Daub J; 0000-0001-6022-563X;Gardner PP; 0000-0002-7808-1213	Predicted; ClustalW; Infernal	Predicted; RNAalifold	37.00	37.40	36.30	Gene; sRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 26 -Z 549862.597050 CM SEQDB	SO; 0001263; ncRNA_gene;	[1];[2]	18725932;18267966	Deep sequencing analysis of small noncoding RNA and mRNA targets of the;global post-transcriptional regulator, Hfq.;Small RNAs encoded within genetic islands of Salmonella typhimurium show;host-induced expression and role in virulence.	Sittka A, Lucchini S, Papenfort K, Sharma CM, Rolle K, Binnewies TT,;Hinton JC, Vogel J;Padalon-Brauch G, Hershberg R, Elgrably-Weiss M, Baruch K, Rosenshine I,;Margalit H, Altuvia S	PLoS Genet. 2008;4:e1000163.;Nucleic Acids Res. 2008;36:1913-1927.	Hfq_binding_sRNA	5				
RF02516	mir-393	mir-393 microRNA precursor family	Eberhardt R; 0000-0001-6152-1369	miRBase	Predicted; miRBase	60.00	60.00	59.80	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	SO; 0001244; pre_miRNA;;GO; 0016442; RISC complex;;GO; 0035195; gene silencing by miRNA;;MIPF; MIPF0000083;;URL; http://www.mirbase.org;	[1]	22647959	Role of microRNAs and other sRNAs of plants in their changing;environments.	Kruszka K, Pieczynski M, Windels D, Bielewicz D, Jarmolowski A,;Szweykowska-Kulinska Z, Vazquez F	J Plant Physiol. 2012;169:1664-1672.	MicroRNA	27				
RF00625	P11	Pseudomonas sRNA P11	Daub J; 0000-0001-6022-563X	INFERNAL	Predicted; RNAalifold	70.00	77.40	49.40	Gene;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000655; ncRNA;	[1]	16870723	Identification of 17 Pseudomonas aeruginosa sRNAs and prediction of;sRNA-encoding genes in 10 diverse pathogens using the bioinformatic tool;sRNAPredict2.	Livny J, Brencic A, Lory S, Waldor MK	Nucleic Acids Res. 2006;34:3484-3493.	Pseudomonas_sRNA_P11	15	This small RNA (sRNA) was computationally identified in the genome of the;opportunistic pathogen Pseudomonas aeruginosa and its expression verified;by northern blot analysis [1]. P11 is located between a putative threonine;protein kinase and putative nitrate reductase and appears to be conserved;in several Pseudomonas species. P11 has a predicted Rho independent;terminator at the 3'end but the function of P11 is unknown [1].			seedtax: Bacteria; unclassified sequences
RF04285	mir-660	mir-660 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	73.30	73.30	49.80	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000113;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	10	This family represents the microRNA (miRNA) precursor mir-660 imported;from miRBase.			
RF02172	RFPL3-AS1_2	RFPL3 antisense RNA 1 conserved region 2	Eberhardt R; 0000-0001-6152-1369	Predicted; CMfinder; Eberhardt R	Predicted; CMfinder;	40.00	41.20	39.80	Gene; lncRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 19.84 -Z 549862.597050 CM SEQDB	SO; 0001463; lincRNA;	[1]	10508838	Duplications on human chromosome 22 reveal a novel Ret Finger Protein-like;gene family with sense and endogenous antisense transcripts.	Seroussi E, Kedra D, Pan HQ, Peyrard M, Schwartz C, Scambler P, Donnai D,;Roe BA, Dumanski JP	Genome Res. 1999;9:803-814.	RFPL3-AS1	3				
RF03292	mir-1301	mir-1301 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	63.00	63.00	56.10	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000742;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	7	This family represents the microRNA (miRNA) precursor mir-1301 imported;from miRBase.			
RF02340	DENV_SLA	Dengue virus SLA	Eberhardt R; 0000-0001-6152-1369;Choi K; 0000-0003-0865-1265	Published; PMID:19004935	Published; PMID:19004935	35.40	35.40	35.10	Cis-reg;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	GO; 0039694; viral RNA genome replication;;SO; 0000205; three_prime_UTR;	[1];[2];[3]	19004935;21994804;33953197	Structural and functional studies of the promoter element for dengue virus;RNA replication.;Functional RNA elements in the dengue virus genome.;Structures of flavivirus RNA promoters suggest two binding modes with NS5;polymerase.	Lodeiro MF, Filomatori CV, Gamarnik AV;Gebhard LG, Filomatori CV, Gamarnik AV;Lee E, Bujalowski PJ, Teramoto T, Gottipati K, Scott SD, Padmanabhan R,;Choi KH	J Virol. 2009;83:993-1008.;Viruses. 2011;3:1739-1756.;Nat Commun. 2021;12:2530.	Flavivirus	11	Flavivirus stem-loop A (SLA) is a secondary structure present in the 5;prime untranslated (5'-UTR) region of viruses of the genus Flavivirus. SLA;structure was first proposed from enzymatic and chemical probing methods;[1,2] afterwards the 3D structure of Dengue (PDB:7LYF) and Zika (PDB:5U0B);SLA viruses were reported [3]. SLA interacts with the nonstructural;protein 5 (NS5), where SLA functions as a promoter for viral RNA synthesis;by NS5 polymerase. The SLA secondary structure includes a bottom stem-loop;(previously reported as SL1 and SL2), a top stem-loop (previously reported;as SL3 and TL) and a side-loop (previously proposed as side SL). The side;SL variate in length between flaviviruses (Tick-borne flaviviruses present;a side SL >40nt), despite the lack of sequence conservation, deletion of;the side SL abolish replication in Dengue virus. It is proposed that the;side SL is essential to maintain the overall fold of Flavivirus SLA [3].		CL00129	
RF00417	SNORA56	Small nucleolar RNA SNORA56	Moxon SJ; 0000-0003-4644-1816	Moxon SJ, INFERNAL	Predicted; RNAalifold_manual; Daub J	80.00	92.50	77.60	Gene; snRNA; snoRNA; HACA-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000594; H_ACA_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0005730; nucleolus;;snoopy; Macaca_mulatta300700;;snoopy; Tupaia_belangeri300420;	[1]	15199136	Human box H/ACA pseudouridylation guide RNA machinery.	Kiss AM, Jady BE, Bertrand E, Kiss T	Mol Cell Biol 2004;24:5797-5807.	Small_nucleolar_RNA_SNORA56	17	ACA56 is a member of the H/ACA class of snoRNA that guide the sites of;modification of uridines to pseudouridines [1].	snoACA56	CL00039	
RF01358	CRISPR-DR39	CRISPR RNA direct repeat element	Wilkinson A; 0000-0001-7406-0151	Predicted; WAR; Wilkinson A	Predicted; WAR; Wilkinson A	39.00	39.20	38.30	Gene; CRISPR;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 28 -Z 549862.597050 CM SEQDB	URL; http://crispr.u-psud.fr/crispr/CRISPRHomePage.php;;SO; 0001459; CRISPR;;GO; 0006952; defense response;	[1]	17521438	The CRISPRdb database and tools to display CRISPRs and to generate;dictionaries of spacers and repeats.	Grissa I, Vergnaud G, Pourcel C	BMC Bioinformatics. 2007;8:172.	CRISPR	3				
RF00884	MIR815	microRNA MIR815	Wilkinson A; 0000-0001-7406-0151	miRBase; Wilkinson A	Predicted; WAR; Wilkinson A	63.00	64.20	61.80	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 30.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000349;;SO; 0001244; pre_miRNA;;GO; 0016442; RISC complex;;GO; 0035195; gene silencing by miRNA;	[1]	16959252	Rice embryogenic calli express a unique set of microRNAs, suggesting;regulatory roles of microRNAs in plant post-embryogenic development.	Luo YC, Zhou H, Li Y, Chen JY, Yang JH, Chen YQ, Qu LH	FEBS Lett. 2006;580:5111-5116.	MicroRNA	3				
RF01956	NEAT1_2	Nuclear enriched abundant transcript 1 conserved region 2	Eberhardt R; 0000-0001-6152-1369	Predicted; MAFFT; Eberhardt R	Predicted; RNAalifold;	60.00	74.70	50.90	Gene; lncRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 23.89 -Z 549862.597050 CM SEQDB	SO; 0001463; lincRNA;;GO; 0042382; paraspeckles;;GO; 0005515; protein binding;	[1]	19217333	An architectural role for a nuclear noncoding RNA: NEAT1 RNA is essential;for the structure of paraspeckles.	Clemson CM, Hutchinson JN, Sara SA, Ensminger AW, Fox AH, Chess A,;Lawrence JB	Mol Cell. 2009;33:717-726.	NEAT1	13				
RF03259	MIR1514	MIR1514 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	90.00	118.80	75.90	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0000694;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	2	This family represents the microRNA (miRNA) precursor MIR1514 imported;from miRBase.			
RF03857	mir-3129	mir-3129 microRNA precursor family	Griffiths-Jones SR; 0000-0001-6043-807X	Griffiths-Jones SR	Predicted; RNAalifold	90.00	92.30	85.20	Gene; miRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 25.00 -Z 742849.287494 CM SEQDB	MIPF; MIPF0001458;;URL; http://www.mirbase.org;;SO; 0001244; pre_miRNA;	[1]	30423142	miRBase: from microRNA sequences to function.	Kozomara A, Birgaoanu M, Griffiths-Jones S	Nucleic Acids Res. 2019;47:D155.	MicroRNA	3	This family represents the microRNA (miRNA) precursor mir-3129 imported;from miRBase.			
RF02985	ftsZ-DE	ftsZ-DE RNA	Weinberg Z; 0000-0002-6681-3624	Weinberg Z	Published; PMID:28977401;	72.20	72.20	41.80	Gene; sRNA;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -T 26.78 -Z 742849.287494 --mxsize;128 CM SEQDB	SO; 0001263; ncRNA_gene;	[1]	28977401	Detection of 224 candidate structured RNAs by comparative analysis of;specific subsets of intergenic regions.	Weinberg Z, Lunse CE, Corbino KA, Ames TD, Nelson JW, Roth A, Perkins KR,;Sherlock ME, Breaker RR	Nucleic Acids Res. 2017;45:10811-10823.	FtsZ-DE_RNA_motif	10	Fibrobacter (Fibrobacteres). BLAST against metagenomes (Fibrobacteres)			
RF00428	SNORA38	Small nucleolar RNA SNORA38	Moxon SJ; 0000-0003-4644-1816	Moxon SJ, INFERNAL	Predicted; RNAFOLD; Moxon SJ	60.00	60.00	58.00	Gene; snRNA; snoRNA; HACA-box;	cmbuild -F CM SEED	cmcalibrate --mpi CM	cmsearch --cpu 4 --verbose --nohmmonly -E 1000 -Z 549862.597050 CM SEQDB	SO; 0000594; H_ACA_box_snoRNA;;GO; 0006396; RNA processing;;GO; 0015030; Cajal body;;GO; 0005730; nucleolus;;snoopy; Loxodonta_africana300501;;snoopy; Echinops_telfairi300125;	[1]	15199136	Human box H/ACA pseudouridylation guide RNA machinery.	Kiss AM, Jady BE, Bertrand E, Kiss T	Mol Cell Biol 2004;24:5797-5807.	Small_nucleolar_RNA_SNORA38	25	ACA38 is a member of the H/ACA class of snoRNA that guide the sites of;modification of uridines to pseudouridines [1].	snoACA38		
